timestamp,mode,leg_in_air,foot_RU_x,foot_RU_y,foot_LU_x,foot_LU_y,foot_RD_x,foot_RD_y,foot_LD_x,foot_LD_y,SM,SM_norm,TR,triangle_area,inradius
0.0,C,-1,0.14055230736151705,0.16479538939253893,-0.16229018513612198,0.10840435250742393,0.12861966255134524,-0.18353465391528823,-0.16092081663108523,-0.10665814234035922,0.05,1.0,0.0,0.02,1e-09
49.970829537996906,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.02999263399397,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.08803550399898,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.12281780799822,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.17773952499556,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.2222816289941,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.27025808899634,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.32311145399581,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.37156275799498,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.42463983399648,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
50.47548423499393,C,-1,0.14055230699114082,0.1647953897904726,-0.1622901851076044,0.10840435250323176,0.12861966207783915,-0.18353465425984797,-0.1609208165917781,-0.10665814233639154,0.05,1.0,0.0,0.02,1e-09
