time_s,latency,firing_var,temp_consistency,lambda_efficiency,Tresponse,Tswitch,roll_rms,pitch_rms,active_noise_level,rmse_ct
1781116822.979,,,,,,,,,,
1781116823.179,,,,,,,,,,
1781116823.379,,,,,,,,,,
1781116823.579,-1.0,0.0,0.0,0.0,,,,,,
1781116823.779,-1.0,0.0,0.0,0.0,,,,,,
1781116823.979,-1.0,0.0,0.0,0.0,,,,,,
1781116824.179,-1.0,0.0,0.0,0.0,,,,,,
1781116824.379,-1.0,0.0,0.0,0.0,,,,,,
1781116824.579,-1.0,0.0,0.0,0.0,,,,,,
1781116824.779,-1.0,0.0,0.0,0.0,,,,,,
1781116824.979,-1.0,0.0,0.0,0.0,,,,,,
1781116825.179,-1.0,0.0,0.0,0.0,,,,,,
1781116825.379,-1.0,0.0,0.0,0.0,,,,,,
1781116825.579,-1.0,0.0,0.0,0.0,,,,,,
1781116825.779,-1.0,0.0,0.0,0.0,,,,,,
1781116825.979,-1.0,0.0,0.0,0.0,,,,,,
1781116826.179,-1.0,0.0,0.0,0.0,,,,,,
1781116826.379,-1.0,0.0,0.0,0.0,,,,,,
1781116826.579,-1.0,0.0,0.0,0.0,,,,,,
1781116826.779,-1.0,0.0,0.0,0.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116826.979,3.5781028270721436,46.042152404785156,0.6343583464622498,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116827.179,3.5781028270721436,87.05631256103516,0.7875699698925018,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116827.379,3.5781028270721436,149.96121215820312,0.8354191581408182,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116827.579,3.5781028270721436,376.50537109375,0.8888130068778992,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116827.779,3.5781028270721436,495.0089111328125,0.9062766631444296,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116827.979,3.5781028270721436,589.2491455078125,0.9194061585835048,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116828.179,3.5781028270721436,690.9442138671875,0.9372454153166877,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
1781116828.379,3.5781028270721436,708.547119140625,0.9435194134712219,1.0,0.0,0.002948760986328125,0.5131845253245715,1.6547852408290504,0.0,
