time_s,latency,firing_var,temp_consistency,lambda_efficiency,Tresponse,Tswitch,roll_rms,pitch_rms,active_noise_level,rmse_ct
1781116281.337,,,,,,,,,,
1781116281.537,,,,,,,,,,
1781116281.737,,,,,,,,,,
1781116281.937,,,,,,,,,,
1781116282.137,-1.0,0.0,0.0,0.0,,,,,,
1781116282.337,-1.0,0.0,0.0,0.0,,,,,,
1781116282.537,-1.0,0.0,0.0,0.0,,,,,,
1781116282.737,-1.0,0.0,0.0,0.0,,,,,,
1781116282.937,-1.0,0.0,0.0,0.0,,,,,,
1781116283.137,-1.0,0.0,0.0,0.0,,,,,,
1781116283.337,-1.0,0.0,0.0,0.0,,,,,,
1781116283.537,-1.0,0.0,0.0,0.0,,,,,,
1781116283.737,-1.0,0.0,0.0,0.0,,,,,,
1781116283.937,-1.0,0.0,0.0,0.0,,,,,,
1781116284.137,-1.0,0.0,0.0,0.0,,,,,,
1781116284.337,-1.0,0.0,0.0,0.0,,,,,,
1781116284.537,-1.0,0.0,0.0,0.0,0.0,0.0,2.189059017029148,2.108018340003912,0.0,
1781116284.737,-1.0,0.0,0.0,1.0,0.0,0.0,2.189059017029148,2.108018340003912,0.0,
1781116284.937,2.8888351917266846,0.0016409542877227068,0.9918649196624756,1.0,0.0,0.0,2.189059017029148,2.108018340003912,0.0,
1781116285.137,2.8888351917266846,0.003349190577864647,0.9961375196774801,1.0,0.0,0.0,2.189059017029148,2.108018340003912,0.0,
1781116285.337,2.8888351917266846,0.0037245918065309525,0.9969075173139572,1.0,0.0,0.0,2.189059017029148,2.108018340003912,0.0,
1781116285.537,2.8888351917266846,0.004014306236058474,0.9974234342575073,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116285.737,2.8888351917266846,0.004441792611032724,0.9980956145695278,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116285.937,2.8888351917266846,0.005140121094882488,0.997159905731678,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116286.137,2.8888351917266846,0.0067117782309651375,0.9942249721950955,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116286.337,0.08667445182800293,0.008198640309274197,0.9950335405089639,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116286.537,0.13961100578308105,0.008289596997201443,0.9951347162326177,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116286.737,0.13961100578308105,0.007843628525733948,0.9949424266815186,1.0,0.0,0.9021179676055908,2.189059017029148,2.108018340003912,0.0,
1781116286.937,0.13961100578308105,0.007200257852673531,0.9954268574714661,1.0,0.0,0.9021179676055908,2.649098018404464,2.729057316107909,0.0,
1781116287.137,0.13961100578308105,0.007104436866939068,0.9956274665892124,1.0,0.0,0.9021179676055908,2.649098018404464,2.729057316107909,0.0,
1781116287.337,0.13961100578308105,0.007125502452254295,0.9958491360439974,1.0,0.0,0.9021179676055908,2.5624081754552703,2.3353454716895716,0.0,
1781116287.537,0.13961100578308105,0.007217525504529476,0.996241735784631,1.0,0.0,0.9021179676055908,2.548761694677672,2.438387043332947,0.0,
1781116287.737,0.13961100578308105,0.007398352958261967,0.9964052587747574,1.0,0.0,0.9021179676055908,2.6167508798292753,2.429782762176883,0.0,
1781116287.937,0.13961100578308105,0.007597533520311117,0.9965680752481733,1.0,0.0,0.9021179676055908,2.596104228068442,2.3855311742906675,0.0,
