time_s,latency,firing_var,temp_consistency,lambda_efficiency,Tresponse,Tswitch,roll_rms,pitch_rms,active_noise_level,rmse_ct
1781113001.551,,,,,,,,,,
1781113001.751,,,,,,,,,,
1781113001.951,-1.0,0.0,0.0,0.0,,,,,,
1781113002.151,-1.0,0.0,0.0,0.0,,,,,,
1781113002.351,-1.0,0.0,0.0,0.0,,,,,,
1781113002.551,-1.0,0.0,0.0,0.0,,,,,,
1781113002.751,-1.0,0.0,0.0,0.0,,,,,,
1781113002.951,-1.0,0.0,0.0,0.0,,,,,,
1781113003.151,-1.0,0.0,0.0,0.0,,,,,,
1781113003.351,-1.0,0.0,0.0,0.0,,,,,,
1781113003.551,-1.0,0.0,0.0,0.0,,,,,,
1781113003.751,-1.0,0.0,0.0,0.0,,,,,,
1781113003.951,-1.0,0.0,0.0,0.0,,,,,,
1781113004.151,-1.0,0.0,0.0,0.0,,,,,,
1781113004.351,-1.0,0.0,0.0,0.0,,,,,,
1781113004.551,-1.0,0.0,0.0,0.0,,,,,,
1781113004.751,-1.0,0.0,0.0,0.0,,,,,,
1781113004.951,-1.0,0.0,0.0,0.0,,,,,,
1781113005.151,-1.0,0.0,0.0,0.0,,,,,,
1781113005.351,-1.0,0.0,0.0,0.0,,,,,,
1781113005.551,-1.0,0.0,0.0,0.0,,,,,,
1781113005.751,-1.0,0.0,0.0,0.0,,,,,,
1781113005.951,-1.0,0.0,0.0,0.0,,,,,,
1781113006.151,-1.0,0.0,0.0,0.0,,,,,,
1781113006.351,-1.0,0.0,0.0,0.0,,,,,,
1781113006.551,-1.0,0.0,0.0,0.0,,,,,,
1781113006.751,-1.0,0.0,0.0,0.0,,,,,,
1781113006.951,-1.0,0.0,0.0,0.0,,,,,,
1781113007.151,-1.0,0.0,0.0,0.0,,,,,,
1781113007.351,-1.0,0.0,0.0,0.0,,,,,,
1781113007.551,-1.0,0.0,0.0,0.0,,,,,,
1781113007.751,-1.0,0.0,0.0,0.0,,,,,,
1781113007.951,-1.0,0.0,0.0,0.0,,,,,,
1781113008.151,-1.0,0.0,0.0,0.0,,,,,,
1781113008.351,-1.0,0.0,0.0,0.0,,,,,,
1781113008.551,-1.0,0.0,0.0,0.0,,,,,,
1781113008.751,-1.0,0.0,0.0,0.0,,,,,,
