time_s,latency,firing_var,temp_consistency,lambda_efficiency,Tresponse,Tswitch,roll_rms,pitch_rms,active_noise_level,rmse_ct
1781115446.346,,,,,,,,,,
1781115446.546,-1.0,0.0,0.0,0.0,,,,,,
1781115446.746,-1.0,0.0,0.0,0.0,,,,,,
1781115446.946,-1.0,0.0,0.0,0.0,,,,,,
1781115447.146,-1.0,0.0,0.0,0.0,,,,,,
1781115447.346,-1.0,0.0,0.0,0.0,,,,,,
1781115447.546,-1.0,0.0,0.0,0.0,,,,,,
1781115447.746,-1.0,0.0,0.0,0.0,,,,,,
1781115447.946,-1.0,0.0,0.0,0.0,,,,,,
1781115448.146,-1.0,0.0,0.0,0.0,,,,,,
1781115448.346,-1.0,0.0,0.0,0.0,,,,,,
1781115448.546,-1.0,0.0,0.0,0.0,,,,,,
1781115448.746,-1.0,0.0,0.0,0.0,,,,,,
1781115448.946,-1.0,0.0,0.0,0.0,,,,,,
1781115449.146,-1.0,0.0,0.0,0.0,,,,,,
1781115449.346,-1.0,0.0,0.0,0.0,,,,,,
1781115449.546,-1.0,0.0,0.0,0.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115449.746,3.3717169761657715,0.003239198587834835,0.9842543005943298,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115449.946,3.3717169761657715,0.004834411665797234,0.9905606210231781,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115450.146,3.3717169761657715,0.006066993344575167,0.9930499593416849,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115450.346,3.3717169761657715,0.007140044122934341,0.9953946471214294,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115450.546,3.3717169761657715,0.007428418379276991,0.9960844020048777,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115450.746,3.3717169761657715,0.00743898656219244,0.9966091173035758,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115450.946,3.3717169761657715,0.007029818836599588,0.9973304867744446,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115451.146,3.3717169761657715,0.0066924626007676125,0.9975817620754241,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115451.346,3.3717169761657715,0.006342429202049971,0.9977925365621393,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115451.546,3.3717169761657715,0.005665067117661238,0.9981266993742722,1.0,0.0,0.0,5.019380234688173,5.606174986926171,0.0,
1781115451.746,3.3717169761657715,0.005377531982958317,0.9982593868459974,1.0,0.0,0.0,5.016103208819964,4.548913026906818,0.0,
1781115451.946,3.3717169761657715,0.0051136622205376625,0.9983723958333334,1.0,0.0,0.0,4.932516084791164,3.6445470895369207,0.0,
1781115452.146,3.3717169761657715,0.004717640113085508,0.9985545593149522,1.0,0.0,0.0,4.974780542423348,3.4372695611773993,0.0,
1781115452.346,3.3717169761657715,0.004571537487208843,0.9986330833699968,1.0,0.0,0.0,4.946015153558346,3.322298869103985,0.0,
1781115452.546,3.3717169761657715,0.004437784198671579,0.9987015065393949,1.0,0.0,0.0,5.0019138009256086,3.1717321030087744,0.0,
1781115452.746,3.3717169761657715,0.00420341407880187,0.9988033459300086,1.0,0.0,0.0,4.981104041714223,3.032323316454838,0.0,
1781115452.946,3.3717169761657715,0.0041532982140779495,0.9988503456115723,1.0,0.0,0.0,4.99343503679187,2.9752894240131895,0.0,
